Time,CO2
3:44:17 AM,580
3:44:22 AM,580
3:44:25 AM,580
3:44:27 AM,580
3:44:29 AM,580
3:44:31 AM,580
3:44:33 AM,580
3:44:35 AM,580
3:44:37 AM,579
3:44:40 AM,579
3:46:10 AM,578
3:46:14 AM,578
3:46:16 AM,577
3:46:18 AM,577
3:46:20 AM,577
3:46:22 AM,577
3:46:23 AM,577
3:46:24 AM,577
3:46:25 AM,577
3:46:26 AM,577
3:46:27 AM,577
3:46:28 AM,577
3:46:29 AM,577
3:46:30 AM,577
3:46:31 AM,576
3:46:32 AM,576
3:46:33 AM,576
3:46:34 AM,576
3:46:35 AM,576
3:46:36 AM,576
3:46:37 AM,576
3:46:38 AM,576
3:46:39 AM,576
3:46:40 AM,576
3:46:41 AM,576
3:46:42 AM,576
3:46:43 AM,576
3:46:44 AM,576
3:46:45 AM,576
3:46:46 AM,576
3:46:47 AM,576
3:46:48 AM,576
3:46:49 AM,576
3:46:50 AM,576
3:46:51 AM,576
3:46:52 AM,576
3:46:53 AM,576
3:46:54 AM,576
3:46:56 AM,576
3:47:39 AM,576
3:47:41 AM,576
3:47:42 AM,576
3:47:43 AM,576
3:47:44 AM,576
3:47:45 AM,576
3:47:46 AM,576
3:47:47 AM,576
3:47:48 AM,576
3:47:49 AM,576
3:47:50 AM,576
3:47:51 AM,576
3:47:52 AM,576
3:47:53 AM,576
3:47:54 AM,576
3:47:55 AM,576
3:47:56 AM,576
3:47:57 AM,576
3:47:58 AM,576
3:48:00 AM,576
3:48:02 AM,576
3:48:04 AM,576
3:48:19 AM,575
3:48:22 AM,575
3:48:24 AM,575
3:48:26 AM,575
3:48:28 AM,575
3:48:30 AM,576
3:48:32 AM,576
3:48:33 AM,576
3:48:34 AM,576
3:48:35 AM,576
3:48:36 AM,576
3:48:37 AM,576
3:48:38 AM,576
3:48:39 AM,576
3:48:40 AM,576
3:48:41 AM,576
3:48:43 AM,576
3:48:45 AM,576
3:48:47 AM,576
3:48:49 AM,576
3:48:51 AM,576
3:48:53 AM,576
3:48:55 AM,576
3:48:58 AM,576
3:49:12 AM,576
3:49:14 AM,576
3:49:16 AM,576
3:49:18 AM,576
3:49:20 AM,576
3:49:22 AM,576
3:49:23 AM,576
3:49:24 AM,576
3:49:25 AM,576
3:49:26 AM,576
3:49:27 AM,576
3:49:28 AM,576
3:49:29 AM,576
3:49:30 AM,575
3:49:31 AM,575
3:49:32 AM,575
3:49:33 AM,575
3:49:34 AM,575
3:49:35 AM,575
3:49:36 AM,575
3:49:37 AM,575
3:49:38 AM,575
3:49:39 AM,575
3:49:40 AM,575
3:49:41 AM,575
3:49:42 AM,575
3:49:43 AM,575
3:49:44 AM,575
3:49:45 AM,575
3:49:46 AM,575
3:49:47 AM,575
3:49:48 AM,575
3:49:49 AM,575
3:49:50 AM,575
3:49:51 AM,575
3:49:52 AM,575
3:49:53 AM,575
3:49:54 AM,575
3:49:55 AM,575
3:49:56 AM,575
3:49:57 AM,575
3:49:58 AM,575
3:49:59 AM,575
3:50:00 AM,575
3:50:01 AM,575
3:50:02 AM,575
3:50:03 AM,575
3:50:04 AM,575
3:50:05 AM,575
3:50:06 AM,575
3:50:07 AM,575
3:50:08 AM,575
3:50:09 AM,575
3:50:10 AM,575
3:50:11 AM,575
3:50:12 AM,575
3:50:13 AM,575
3:57:02 AM,591
3:57:03 AM,591
3:57:04 AM,591
3:57:06 AM,591
3:57:07 AM,591
3:57:08 AM,591
3:57:09 AM,591
3:57:10 AM,591
3:57:11 AM,591
3:57:12 AM,591
3:57:13 AM,591
3:57:14 AM,591
3:57:15 AM,591
3:57:16 AM,591
3:57:17 AM,591
3:57:18 AM,591
3:57:19 AM,591
3:57:20 AM,591
3:57:21 AM,591
3:57:22 AM,591
3:57:23 AM,591
3:57:24 AM,592
3:57:25 AM,592
3:57:26 AM,592
3:57:27 AM,592
3:57:28 AM,592
3:57:29 AM,592
3:57:30 AM,592
3:57:31 AM,592
3:57:32 AM,592
3:57:33 AM,592
3:57:34 AM,592
3:57:35 AM,592
3:57:36 AM,592
3:57:37 AM,592
3:57:38 AM,592
3:57:41 AM,593
3:57:42 AM,593
3:57:43 AM,593
3:57:44 AM,593
3:57:46 AM,593
3:57:47 AM,593
3:57:48 AM,593
3:57:49 AM,593
3:57:50 AM,593
3:57:51 AM,593
3:57:52 AM,593
3:57:53 AM,593
3:57:54 AM,593
3:57:55 AM,593
3:57:56 AM,593
3:57:57 AM,593
3:57:58 AM,593
3:57:59 AM,593
3:58:00 AM,593
3:58:01 AM,593
3:58:02 AM,593
3:58:03 AM,593
3:58:04 AM,593
